          table_name           | ordinal_position |       column_name       |        data_type         | is_nullable 
-------------------------------+------------------+-------------------------+--------------------------+-------------
 channel                       |                1 | ChannelID               | text                     | YES
 channel                       |                2 | ChannelDescr            | text                     | YES
 channel                       |                3 | Level                   | integer                  | YES
 channel                       |                4 | IsActive                | boolean                  | YES
 classified_forecast_elements  |                1 | ProductID               | text                     | NO
 classified_forecast_elements  |                2 | ChannelID               | text                     | NO
 classified_forecast_elements  |                3 | LocationID              | text                     | NO
 classified_forecast_elements  |                4 | Period                  | text                     | NO
 classified_forecast_elements  |                5 | ADI                     | double precision         | YES
 classified_forecast_elements  |                6 | CV2                     | double precision         | YES
 classified_forecast_elements  |                7 | Category                | text                     | NO
 classified_forecast_elements  |                8 | Algorithm               | text                     | NO
 classified_forecast_elements  |                9 | CreatedAt               | timestamp with time zone | NO
 classified_forecast_elements  |               10 | UpdatedAt               | timestamp with time zone | NO
 cleanse_profiles              |                1 | id                      | integer                  | NO
 cleanse_profiles              |                2 | name                    | text                     | NO
 cleanse_profiles              |                3 | config                  | jsonb                    | NO
 cleanse_profiles              |                4 | created_at              | timestamp with time zone | NO
 forecast_111_daily            |                1 | ProductID               | text                     | YES
 forecast_111_daily            |                2 | ChannelID               | text                     | YES
 forecast_111_daily            |                3 | LocationID              | text                     | YES
 forecast_111_daily            |                4 | StartDate               | date                     | YES
 forecast_111_daily            |                5 | EndDate                 | date                     | YES
 forecast_111_daily            |                6 | Period                  | text                     | YES
 forecast_111_daily            |                7 | Qty                     | text                     | YES
 forecast_111_daily            |                8 | UOM                     | text                     | YES
 forecast_111_daily            |                9 | NetPrice                | double precision         | YES
 forecast_111_daily            |               10 | ListPrice               | double precision         | YES
 forecast_111_daily            |               11 | ForecastQty             | double precision         | YES
 forecast_111_daily            |               12 | Method                  | text                     | YES
 forecast_111_daily_baseline   |                1 | ProductID               | text                     | YES
 forecast_111_daily_baseline   |                2 | ChannelID               | text                     | YES
 forecast_111_daily_baseline   |                3 | LocationID              | text                     | YES
 forecast_111_daily_baseline   |                4 | StartDate               | date                     | YES
 forecast_111_daily_baseline   |                5 | EndDate                 | date                     | YES
 forecast_111_daily_baseline   |                6 | Period                  | text                     | YES
 forecast_111_daily_baseline   |                7 | Qty                     | text                     | YES
 forecast_111_daily_baseline   |                8 | UOM                     | text                     | YES
 forecast_111_daily_baseline   |                9 | NetPrice                | double precision         | YES
 forecast_111_daily_baseline   |               10 | ListPrice               | double precision         | YES
 forecast_111_daily_baseline   |               11 | ForecastQty             | double precision         | YES
 forecast_111_daily_baseline   |               12 | Method                  | text                     | YES
 forecast_111_monthly          |                1 | ProductID               | text                     | YES
 forecast_111_monthly          |                2 | ChannelID               | text                     | YES
 forecast_111_monthly          |                3 | LocationID              | text                     | YES
 forecast_111_monthly          |                4 | StartDate               | date                     | YES
 forecast_111_monthly          |                5 | EndDate                 | date                     | YES
