LocationID,Date,TavgC,TminC,TmaxC,PrecipMM,WindMaxMS,SunHours
NL-GE,2023-02-02,7.2,5.9,8.1,5.2,27.0,0.0
NL-GE,2023-02-03,8.1,6.7,9.9,1.2,29.4,0.0
NL-GE,2023-02-04,7.1,5.9,8.9,0.0,13.4,0.9018444444444444
NL-GE,2023-02-05,6.0,2.6,7.9,3.2,30.1,5.896861111111111
NL-GE,2023-02-06,2.8,-1.2,7.4,0.0,10.6,7.79235
NL-GE,2023-02-07,-0.0,-3.5,4.3,0.0,9.9,8.204719444444445
NL-GE,2023-02-08,0.7,-2.5,6.1,0.0,12.3,8.283475
NL-GE,2023-02-09,1.5,-2.1,5.1,0.0,14.7,7.441994444444444
NL-GE,2023-02-10,3.2,0.2,6.8,0.3,22.5,8.00318888888889
NL-GE,2023-02-11,6.9,4.4,9.9,0.1,20.0,0.3304888888888889
NL-GE,2023-02-12,7.0,5.3,9.1,0.0,9.0,0.0
NL-GE,2023-02-13,6.0,2.0,10.9,0.0,8.7,8.542605555555555
NL-GE,2023-02-14,4.7,1.3,11.1,0.0,11.0,8.624566666666666
NL-GE,2023-02-15,4.7,0.1,11.0,0.0,13.6,8.015947222222222
NL-GE,2023-02-16,6.5,3.7,9.2,2.0,22.0,0.9251944444444444
NL-GE,2023-02-17,10.1,9.2,11.3,2.2,35.2,0.0
NL-GE,2023-02-18,9.6,8.9,10.9,5.3,31.4,1.0
NL-GE,2023-02-19,7.9,4.7,9.2,4.9,24.6,0.0
NL-GE,2023-02-20,7.0,4.7,8.7,0.3,30.0,0.0
NL-GE,2023-02-21,7.7,6.8,8.7,0.0,20.2,0.0
NL-GE,2023-02-22,7.1,2.9,11.9,1.6,11.4,3.2147194444444445
NL-GE,2023-02-23,7.1,5.2,8.9,3.0,18.0,0.04867777777777778
NL-GE,2023-02-24,3.4,0.2,6.6,2.7,22.9,1.9257499999999999
NL-GE,2023-02-25,3.7,0.2,6.2,0.0,23.5,9.481077777777777
NL-GE,2023-02-26,1.4,-1.7,5.1,0.0,24.2,9.34741111111111
NL-GE,2023-02-27,1.1,-2.9,5.7,0.0,22.5,9.618269444444444
NL-GE,2023-02-28,2.0,-0.9,5.4,0.0,14.3,8.338802777777778
NL-GE,2023-03-01,0.9,-3.4,6.2,0.0,17.0,9.696736111111111
NL-GE,2023-03-02,2.3,-1.5,7.8,0.0,17.8,9.737947222222223
NL-GE,2023-03-03,2.7,-0.9,6.9,0.0,13.7,1.7210333333333334
NL-GE,2023-03-04,5.2,2.7,7.2,0.3,19.7,0.4805388888888889
NL-GE,2023-03-05,3.8,0.8,6.3,0.9,13.3,4.799797222222223
NL-GE,2023-03-06,3.0,0.6,6.2,2.9,24.8,6.121561111111111
NL-GE,2023-03-07,2.5,-0.5,4.4,8.9,24.1,0.0
NL-GE,2023-03-08,0.7,-0.8,2.9,4.5,20.3,0.061519444444444446
NL-GE,2023-03-09,1.5,0.3,3.0,13.4,16.0,0.0
NL-GE,2023-03-10,2.5,0.2,5.1,20.6,31.1,0.0
NL-GE,2023-03-11,1.8,-2.0,6.2,0.1,17.5,9.669408333333335
NL-GE,2023-03-12,5.7,-0.2,10.6,1.1,25.4,2.6659805555555556
NL-GE,2023-03-13,12.1,8.8,16.2,3.9,41.7,7.0
NL-GE,2023-03-14,7.0,2.6,10.8,2.4,27.3,4.0
NL-GE,2023-03-15,4.0,0.3,8.1,0.7,18.4,10.285255555555555
NL-GE,2023-03-16,6.5,3.0,11.4,0.9,23.5,5.191952777777778
NL-GE,2023-03-17,10.7,6.2,15.9,0.1,16.0,7.014125
NL-GE,2023-03-18,11.5,9.4,16.1,4.1,19.1,9.613672222222222
NL-GE,2023-03-19,10.3,7.7,13.4,1.9,14.3,9.904588888888888
NL-GE,2023-03-20,7.5,5.9,8.8,4.2,23.6,0.0
NL-GE,2023-03-21,10.3,8.6,13.2,0.9,25.6,1.8177555555555556
NL-GE,2023-03-22,10.2,8.8,11.1,2.8,29.8,1.0
NL-GE,2023-03-23,11.8,10.1,13.6,6.8,29.0,8.668383333333333
NL-GE,2023-03-24,10.8,8.7,12.4,6.3,31.3,10.975730555555554
NL-GE,2023-03-25,8.7,6.9,11.1,10.0,35.2,8.06451388888889
NL-GE,2023-03-26,6.4,3.2,8.2,5.8,21.1,0.0
