LocationID,Date,TavgC,TminC,TmaxC,PrecipMM,WindMaxMS,SunHours
NL-GE,2023-09-09,21.1,16.2,27.8,0.0,8.7,12.590533333333333
NL-GE,2023-09-10,23.1,17.5,30.0,0.0,9.0,12.839063888888887
NL-GE,2023-09-11,22.9,19.2,27.3,0.0,13.6,11.61561111111111
NL-GE,2023-09-12,20.2,17.6,24.1,9.0,8.5,10.703025
NL-GE,2023-09-13,17.3,13.7,19.1,12.2,26.6,9.22353888888889
NL-GE,2023-09-14,15.7,12.2,19.2,0.4,8.8,11.928166666666668
NL-GE,2023-09-15,15.9,10.3,22.1,0.0,11.0,12.108802777777779
NL-GE,2023-09-16,18.4,12.4,24.3,0.0,15.1,10.781455555555555
NL-GE,2023-09-17,18.8,15.2,23.3,3.9,16.6,7.3357722222222215
NL-GE,2023-09-18,19.6,17.1,22.3,0.9,30.4,7.623005555555555
NL-GE,2023-09-19,16.8,14.1,19.6,0.5,38.7,5.431505555555555
NL-GE,2023-09-20,18.8,16.2,21.5,0.0,32.2,7.903044444444444
NL-GE,2023-09-21,17.9,15.2,19.8,13.4,23.9,0.6089222222222221
NL-GE,2023-09-22,14.1,11.7,17.2,4.2,24.2,9.0
NL-GE,2023-09-23,13.1,10.7,16.7,5.0,22.5,9.990058333333334
NL-GE,2023-09-24,13.8,9.3,19.1,0.0,17.2,11.063352777777778
NL-GE,2023-09-25,15.7,12.1,20.7,0.0,17.5,11.0
NL-GE,2023-09-26,15.9,11.4,21.0,0.0,10.4,7.666625
NL-GE,2023-09-27,17.3,12.0,22.9,0.0,14.5,8.58908888888889
NL-GE,2023-09-28,18.1,15.4,19.9,0.0,20.1,7.465891666666667
NL-GE,2023-09-29,17.2,12.4,21.2,1.6,23.8,7.730627777777777
NL-GE,2023-09-30,14.7,11.8,18.6,0.1,13.9,10.855988888888888
NL-GE,2023-10-01,16.7,12.9,22.0,0.0,17.6,9.11893888888889
NL-GE,2023-10-02,18.5,15.1,23.4,0.0,15.3,9.224758333333332
NL-GE,2023-10-03,16.6,13.5,20.6,1.9,30.5,2.132963888888889
NL-GE,2023-10-04,14.2,11.9,16.6,0.3,23.8,6.231547222222222
