LocationID,Date,TavgC,TminC,TmaxC,PrecipMM,WindMaxMS,SunHours,Provider,Model,ForecastRun
NL-GE,2026-09-09,14.7,12.4,17.5,1.1,6.2,5.412358333333334,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-GE,2026-09-10,15.7,11.8,19.5,0.0,2.1,11.053280555555554,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-GE,2026-09-11,14.8,13.3,16.3,1.1,3.2,1.0,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-GE,2026-09-12,15.9,12.1,20.3,0.0,3.44,9.171425,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-GE,2026-09-13,16.0,13.7,18.2,2.7,5.57,0.0,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-GE,2026-09-14,17.6,14.9,21.3,0.3,2.97,8.561322222222222,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-GE,2026-09-15,16.5,15.0,18.7,2.4,4.35,4.245025,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-GE,2026-09-16,15.0,13.1,18.2,0.6,5.31,10.799366666666668,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-GE,2026-09-17,14.9,11.1,19.3,0.0,3.35,11.413924999999999,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-GE,2026-09-18,15.3,12.3,19.5,1.2,4.34,11.801683333333333,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-GE,2026-09-19,15.7,12.4,20.1,0.0,4.52,11.730586111111112,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-GE,2026-09-20,15.1,12.2,19.0,0.0,2.91,5.787536111111112,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-GE,2026-09-21,13.2,10.7,17.1,1.2,4.3,11.58923888888889,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-GE,2026-09-22,10.8,8.7,14.4,2.4,4.01,11.311891666666666,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-GE,2026-09-23,10.7,7.1,14.5,0.0,4.35,11.345233333333333,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-GE,2026-09-24,,,,,,,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-NB,2026-09-09,15.7,13.1,18.1,1.0,6.0,7.7991472222222225,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-NB,2026-09-10,16.7,11.6,20.7,0.0,2.9,9.42056111111111,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-NB,2026-09-11,15.9,14.2,19.4,0.3,3.6,1.0545194444444443,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-NB,2026-09-12,16.2,11.7,21.4,0.0,2.95,10.002919444444444,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-NB,2026-09-13,15.9,13.3,18.2,35.7,4.08,0.0,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-NB,2026-09-14,18.6,16.0,22.7,0.3,3.38,10.047194444444445,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-NB,2026-09-15,17.7,15.4,20.6,0.6,4.16,10.862394444444446,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-NB,2026-09-16,15.3,12.7,18.9,0.6,4.93,11.810744444444445,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-NB,2026-09-17,15.3,11.3,20.3,0.0,2.49,12.353230555555555,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-NB,2026-09-18,15.6,11.6,20.2,0.0,3.49,10.754941666666667,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-NB,2026-09-19,16.9,12.5,22.2,0.0,3.79,11.521269444444444,Open-Meteo,best_match,2026-09-09 15:20:40.660068
NL-NB,2026-09-20,16.0,11.4,21.7,0.0,2.73,6.675427777777778,Open-Meteo,best_match,2026-09-09 15:20:40.660068
